speakerId,firstName,lastName,party,fraction
11005251,Carmen,Wegge,SPD,SPD
11005255,Stefan,Wenzel,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11004095,Lars,Lindemann,FDP,FDP
11004639,Jürgen,Coße,SPD,SPD
11005010,Johannes,Arlt,SPD,SPD
11005013,Tobias,Bacherle,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005022,Lukas,Benner,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005023,Jürgen,Berghahn,SPD,SPD
11005030,Simone,Borchardt,CDU,CDU/CSU
11005031,Dirk,Brandes,AfD,AfD
11005034,Frank,Bsirske,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005040,Martin,Diedenhofen,SPD,SPD
11005041,Jan,Dieren,SPD,SPD
11005053,Robert,Farle,AfD,AfD
11005062,Manuel,Gava,SPD,SPD
11005073,Ates,Gürpinar,DIE LINKE.,Die Linke
11005075,Philipp,Hartewig,FDP,FDP
11005076,Ulrike,Harzer,FDP,FDP
11005078,Linda,Heitmann,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005083,Bernhard,Herrmann,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005084,Nadine,Heselhaus,SPD,SPD
11005091,Gerrit,Huy,AfD,AfD
11005092,Steffen,Janich,AfD,AfD
11005104,Misbah,Khan,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005105,Helmut,Kleebank,SPD,SPD
11005106,Ottilie,Klein,CDU,CDU/CSU
11005112,Simona,Koß,SPD,SPD
11005116,Martin,Kröber,SPD,SPD
11005123,Ina,Latendorf,DIE LINKE.,Die Linke
11005125,Jürgen,Lenders,FDP,FDP
11005128,Luiza,Licina-Bode,SPD,SPD
11005141,Kaweh,Mansoori,SPD,SPD
11005142,Zanda,Martens,SPD,SPD
11005150,Anikó,Merten,FDP,FDP
11005151,Robin,Mesarosch,SPD,SPD
11005154,Matthias David,Mieves,SPD,SPD
11005159,Maximilian,Mörseburg,CDU,CDU/CSU
11005161,Michael,Müller,SPD,SPD
11005163,Stefan,Nacke,CDU,CDU/CSU
11005164,Sara,Nanni,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005165,Rasha,Nasr,SPD,SPD
11005167,Ophelia,Nick,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005176,Mathias,Papendieck,SPD,SPD
11005182,Martin,Plum,CDU,CDU/CSU
11005184,Henning,Rehbaum,CDU,CDU/CSU
11005185,Markus,Reichel,CDU,CDU/CSU
11005197,Kassem Taher,Saleh,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005203,Bernd,Schattner,AfD,AfD
11005223,Rainer,Semet,FDP,FDP
11005224,Nyke,Slawik,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005228,Till,Steffen,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005231,Nadja,Sthamer,SPD,SPD
11005233,Diana,Stöcker,CDU,CDU/CSU
11005234,Konrad,Stockmeier,FDP,FDP
11005259,Tina,Winklmann,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005262,Herbert,Wollmann,SPD,SPD
11005265,Kay-Uwe,Ziegler,AfD,AfD
11005267,Armand,Zorn,SPD,SPD
11005289,Clara,Bünger,DIE LINKE.,Die Linke
11005014,Carolin,Bachmann,AfD,AfD
11005039,Sandra,Detzer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005055,Emilia,Fester,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005065,Jan-Niclas,Gesenhues,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005068,Fabian,Gramling,CDU,CDU/CSU
11005143,Parsa,Marvi,SPD,SPD
11005146,Volker,Mayer-Lay,CDU,CDU/CSU
11005158,Maximilian,Mordhorst,FDP,FDP
11005168,Brian,Nickholz,SPD,SPD
11005177,Natalie,Pawlik,SPD,SPD
11005178,Jens,Peick,SPD,SPD
11005191,Sebastian,Roloff,SPD,SPD
11005201,Sebastian,Schäfer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005206,Peggy,Schierenbeck,SPD,SPD
11005208,Christoph,Schmid,SPD,SPD
11005220,Stephan,Seiter,FDP,FDP
11005221,Lina,Seitzl,SPD,SPD
11005257,Klaus,Wiener,CDU,CDU/CSU
11005263,Mareike Lotte,Wulf,CDU,CDU/CSU
11005004,Stephanie,Aeffner,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005011,Andreas,Audretsch,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005016,Felix,Banaszak,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005032,Michael,Breilmann,CDU,CDU/CSU
11005037,Mario,Czaja,CDU,CDU/CSU
11005047,Leon,Eckert,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005090,Markus,Hümpfer,SPD,SPD
11005100,Michael,Kaufmann,AfD,AfD
11005118,Tilman,Kuban,CDU,CDU/CSU
11005140,Holger,Mann,SPD,SPD
11005160,Florian,Müller,CDU,CDU/CSU
11005181,Jan,Plobner,SPD,SPD
11005188,Ye-One,Rhie,SPD,SPD
11005215,Ria,Schröder,FDP,FDP
11005235,Christina,Stumpp,CDU,CDU/CSU
11005236,Ruppert,Stüwe,SPD,SPD
11005264,Joachim,Wundrak,AfD,AfD
11004294,Stefan,Heck,CDU,CDU/CSU
11005002,Knut,Abraham,CDU,CDU/CSU
11005021,Holger,Becker,SPD,SPD
11005024,Bengt,Bergt,SPD,SPD
11005028,Friedhelm,Boginski,FDP,FDP
11005038,Hakan,Demir,SPD,SPD
11005045,Deborah,Düring,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005050,Alexander,Engelhard,CSU,CDU/CSU
11005060,Tessa,Ganserer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005115,Dunja,Kreiser,SPD,SPD
11005129,Thorsten,Lieb,FDP,FDP
11005131,Esra,Limbacher,SPD,SPD
11005134,Max,Lucks,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005155,Boris,Mijatovic,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005171,Moritz,Oppelt,CDU,CDU/CSU
11005172,Karoline,Otte,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005187,Anja,Reinalter,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005199,Ingo,Schäfer,SPD,SPD
11005218,Armin,Schwarz,CDU,CDU/CSU
11005227,Nina,Stahr,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005249,Maja,Wallstein,SPD,SPD
11005250,Hannes,Walter,SPD,SPD
11005260,Janine,Wissler,DIE LINKE.,Die Linke
11005268,Katrin,Zschau,SPD,SPD
11005299,Nils,Gründer,FDP,FDP
11005301,Alexander,Bartz,SPD,SPD
999990129,Daniel,Rinkert,,SPD
11002735,Friedrich,Merz,CDU,CDU/CSU
11005018,Christina,Baum,AfD,AfD
11005020,Roger,Beckamp,AfD,AfD
11005026,René,Bochmann,AfD,AfD
11005036,Isabel,Cademartori Dujisin,SPD,SPD
11005110,Anne,König,CDU,CDU/CSU
11005117,Michael,Kruse,FDP,FDP
11005119,Kevin,Kühnert,SPD,SPD
11005130,Anja,Liebert,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005135,Bettina,Lugk,SPD,SPD
11005149,Susanne,Menge,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005157,Matthias,Moosdorf,AfD,AfD
11005190,Lars,Rohwer,CDU,CDU/CSU
11005195,Tina,Rudolph,SPD,SPD
11005205,Christiane,Schenderlein,CDU,CDU/CSU
11005207,Timo,Schisanowski,SPD,SPD
11005214,Christina-Johanne,Schröder,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
